imageLink,address
https://chicagoarchitecturedata.com/static/images/assessor_images/16142040150000.jpg,3515-w-monroe-street
https://chicagoarchitecturedata.com/static/images/assessor_images/20243280100000.jpg,7044-s-euclid-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25141020360000.jpg,10518-s-maryland-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20153170400000.jpg,6160-s-m-l-king-jr-drive
https://chicagoarchitecturedata.com/static/images/assessor_images/25061070010000.jpg,8911-s-placeeasant-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14301230010000.jpg,2826-n-clybourn-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14281240090000.jpg,2821-n-pine-grove-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16143230490000.jpg,3947-w-fillmore-street
https://chicagoarchitecturedata.com/static/images/assessor_images/20021170040000.jpg,4125-s-berkeley-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20243190010000.jpg,6901-s-cregier-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/13253250110000.jpg,2423-n-kedzie-boulevard
https://chicagoarchitecturedata.com/static/images/assessor_images/14283080010000.jpg,549-w-diversey-parkway
https://chicagoarchitecturedata.com/static/images/assessor_images/25181070610000.jpg,10312-s-longwood-drive
https://chicagoarchitecturedata.com/static/images/assessor_images/17093210010000.jpg,664-w-randolph-street
https://chicagoarchitecturedata.com/static/images/assessor_images/16012210080000.jpg,1341-n-artesian-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17203030110000.jpg,1435-w-17th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/16012050150000.jpg,1535-n-maplewood-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20262050280000.jpg,7148-s-dorchester-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17203110130000.jpg,1856-s-blue-island-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16124250090000.jpg,2743-w-warren-boulevard
https://chicagoarchitecturedata.com/static/images/assessor_images/17193050010000.jpg,2059-w-18th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/16114090110000.jpg,3523-w-walnut-street
https://chicagoarchitecturedata.com/static/images/assessor_images/14332060150000.jpg,2113-n-clark-street
https://chicagoarchitecturedata.com/static/images/assessor_images/17183140550000.jpg,2336-w-taylor-street
https://chicagoarchitecturedata.com/static/images/assessor_images/16104240100000.jpg,4129-w-washington-boulevard
https://chicagoarchitecturedata.com/static/images/assessor_images/20232130010000.jpg,6401-s-kenwood-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17064230060000.jpg,947-n-wolcott-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14182220120000.jpg,4444-n-paulina-street
https://chicagoarchitecturedata.com/static/images/assessor_images/13111020010000.jpg,5200-n-pulaski-road-21
https://chicagoarchitecturedata.com/static/images/assessor_images/17064190020000.jpg,1037-n-paulina-street
https://chicagoarchitecturedata.com/static/images/assessor_images/13361200060000.jpg,2051-n-humboldt-boulevard
https://chicagoarchitecturedata.com/static/images/assessor_images/25074000220000.jpg,9952-s-winchester-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20024020240000.jpg,1242-e-46th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/16151260010000.jpg,4640-w-harrison-street
https://chicagoarchitecturedata.com/static/images/assessor_images/17183200070000.jpg,2131-w-bowler-street
https://chicagoarchitecturedata.com/static/images/assessor_images/17061270360000.jpg,1248-n-damen-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17194170300000.jpg,1632-w-cullerton-street
https://chicagoarchitecturedata.com/static/images/assessor_images/16094080170000.jpg,207-n-leclaire-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/13031130250000.jpg,6233-n-kilpatrick-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14331040670000.jpg,2310-n-cleveland-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16123110580000.jpg,2848-w-walnut-street
https://chicagoarchitecturedata.com/static/images/assessor_images/14204040290000.jpg,3534-n-wilton-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17094040050000.jpg,159-w-kinzie-street
https://chicagoarchitecturedata.com/static/images/assessor_images/20043160330000.jpg,536-w-45th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/17301050360000.jpg,2016-w-22nd-place
https://chicagoarchitecturedata.com/static/images/assessor_images/13322070360000.jpg,2300-n-central-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17073250330000.jpg,2230-w-warren-boulevard
https://chicagoarchitecturedata.com/static/images/assessor_images/16261170080000.jpg,2435-s-millard-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/13041130180000.jpg,6230-n-livermore-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25181210080000.jpg,10541-s-hoyne-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25154040350000.jpg,10720-s-champlain-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/13361170070000.jpg,2109-n-humboldt-boulevard
https://chicagoarchitecturedata.com/static/images/assessor_images/17203020400000.jpg,1504-w-18th-street
